call_id,call_date,call_month,member_type,call_channel,call_reason,agent_id,queue_name,wait_time_sec,handle_time_sec,call_outcome,first_call_resolution,sla_target_sec,sla_met,escalated_flag,abandoned_flag
51,2024-07-03 02:00:00,2024-07,Medicaid,Phone,Prior Authorization,2046,Benefits Queue,51,835,Abandoned,Yes,60,Yes,0,1
52,2024-07-03 03:00:00,2024-07,Medicaid,Phone,Enrollment,2003,Benefits Queue,33,340,Resolved,Yes,30,No,0,0
53,2024-07-03 04:00:00,2024-07,Medicare,IVR,System Access,2053,Enrollment Queue,165,154,Escalated,No,30,No,1,0
54,2024-07-03 05:00:00,2024-07,Medicare,Phone,Provider Inquiry,2041,Benefits Queue,36,457,Resolved,Yes,30,No,0,0
55,2024-07-03 06:00:00,2024-07,Medicaid,Portal,Billing,2006,Enrollment Queue,96,159,Resolved,Yes,30,No,0,0
56,2024-07-03 07:00:00,2024-07,Medicaid,IVR,Enrollment,2052,Benefits Queue,137,228,Resolved,Yes,30,No,0,0
57,2024-07-03 08:00:00,2024-07,Medicaid,IVR,Claims Status,2045,Claims Queue,157,293,Escalated,Yes,60,No,1,0
58,2024-07-03 09:00:00,2024-07,Medicare,Portal,Enrollment,2034,Claims Queue,31,280,Escalated,Yes,90,Yes,1,0
59,2024-07-03 10:00:00,2024-07,Medicare,Phone,Benefits Coverage,2020,Enrollment Queue,20,148,Resolved,Yes,30,Yes,0,0
60,2024-07-03 11:00:00,2024-07,Medicare,Phone,Benefits Coverage,2059,Claims Queue,80,416,Resolved,Yes,90,Yes,0,0
61,2024-07-03 12:00:00,2024-07,Commercial,Phone,Benefits Coverage,2028,Enrollment Queue,54,280,Escalated,No,60,Yes,1,0
62,2024-07-03 13:00:00,2024-07,Medicare,Phone,Claims Status,2031,Benefits Queue,61,122,Resolved,No,30,No,0,0
63,2024-07-03 14:00:00,2024-07,Medicaid,IVR,Claims Status,2036,Enrollment Queue,23,204,Resolved,Yes,90,Yes,0,0
64,2024-07-03 15:00:00,2024-07,Medicaid,Phone,Billing,2020,Benefits Queue,53,544,Resolved,Yes,60,Yes,0,0
65,2024-07-03 16:00:00,2024-07,Medicare,IVR,Enrollment,2046,Enrollment Queue,47,871,Resolved,Yes,30,No,0,0
66,2024-07-03 17:00:00,2024-07,Medicaid,Phone,Claims Status,2024,Benefits Queue,68,163,Resolved,Yes,60,No,0,0
67,2024-07-03 18:00:00,2024-07,Commercial,Phone,Prior Authorization,2029,Enrollment Queue,35,275,Resolved,Yes,60,Yes,0,0
68,2024-07-03 19:00:00,2024-07,Commercial,Phone,Provider Inquiry,2032,Claims Queue,99,262,Resolved,No,60,No,0,0
69,2024-07-03 20:00:00,2024-07,Commercial,Portal,System Access,2050,Benefits Queue,82,935,Resolved,Yes,60,No,0,0
70,2024-07-03 21:00:00,2024-07,Medicare,IVR,Provider Inquiry,2024,Claims Queue,163,323,Resolved,Yes,30,No,0,0
71,2024-07-03 22:00:00,2024-07,Commercial,Phone,Benefits Coverage,2021,Claims Queue,116,289,Resolved,Yes,30,No,0,0
72,2024-07-03 23:00:00,2024-07,Medicaid,Phone,Provider Inquiry,2051,Claims Queue,70,302,Resolved,Yes,30,No,0,0
73,2024-07-04 00:00:00,2024-07,Medicaid,Phone,Enrollment,2032,Claims Queue,97,327,Resolved,Yes,60,No,0,0
74,2024-07-04 01:00:00,2024-07,Medicare,Phone,Prior Authorization,2052,Enrollment Queue,38,695,Resolved,Yes,90,Yes,0,0
75,2024-07-04 02:00:00,2024-07,Medicare,Phone,Provider Inquiry,2024,Benefits Queue,100,217,Resolved,Yes,90,No,0,0
76,2024-07-04 03:00:00,2024-07,Medicare,Phone,Claims Status,2034,Enrollment Queue,56,398,Resolved,Yes,90,Yes,0,0
77,2024-07-04 04:00:00,2024-07,Medicaid,IVR,Benefits Coverage,2013,Enrollment Queue,37,242,Escalated,Yes,30,No,1,0
78,2024-07-04 05:00:00,2024-07,Medicaid,Phone,System Access,2046,Benefits Queue,206,115,Resolved,Yes,90,No,0,0
79,2024-07-04 06:00:00,2024-07,Medicaid,Phone,Claims Status,2053,Claims Queue,94,739,Resolved,Yes,60,No,0,0
80,2024-07-04 07:00:00,2024-07,Medicaid,IVR,Billing,2002,Enrollment Queue,52,681,Resolved,Yes,30,No,0,0
81,2024-07-04 08:00:00,2024-07,Medicaid,IVR,Billing,2058,Claims Queue,67,122,Escalated,Yes,60,No,1,0
82,2024-07-04 09:00:00,2024-07,Medicaid,Phone,System Access,2003,Benefits Queue,40,641,Resolved,Yes,60,Yes,0,0
83,2024-07-04 10:00:00,2024-07,Medicaid,Phone,Benefits Coverage,2006,Claims Queue,25,507,Resolved,Yes,30,Yes,0,0
84,2024-07-04 11:00:00,2024-07,Medicare,Phone,Claims Status,2053,Enrollment Queue,87,150,Resolved,Yes,90,Yes,0,0
85,2024-07-04 12:00:00,2024-07,Medicare,Phone,Enrollment,2013,Claims Queue,135,277,Abandoned,Yes,60,No,0,1
86,2024-07-04 13:00:00,2024-07,Medicare,Phone,Claims Status,2024,Benefits Queue,98,121,Resolved,No,30,No,0,0
87,2024-07-04 14:00:00,2024-07,Medicare,Phone,Provider Inquiry,2015,Enrollment Queue,107,201,Resolved,Yes,30,No,0,0
88,2024-07-04 15:00:00,2024-07,Medicare,Phone,Billing,2019,Claims Queue,185,220,Escalated,Yes,30,No,1,0
89,2024-07-04 16:00:00,2024-07,Commercial,IVR,Provider Inquiry,2046,Enrollment Queue,91,329,Resolved,No,30,No,0,0
90,2024-07-04 17:00:00,2024-07,Medicare,Portal,Prior Authorization,2043,Enrollment Queue,87,212,Escalated,Yes,60,No,1,0
91,2024-07-04 18:00:00,2024-07,Commercial,Phone,Benefits Coverage,2016,Claims Queue,98,329,Escalated,Yes,30,No,1,0
92,2024-07-04 19:00:00,2024-07,Commercial,IVR,Prior Authorization,2042,Benefits Queue,21,666,Resolved,No,30,Yes,0,0
93,2024-07-04 20:00:00,2024-07,Medicaid,Phone,Provider Inquiry,2049,Benefits Queue,123,500,Resolved,Yes,30,No,0,0
94,2024-07-04 21:00:00,2024-07,Commercial,IVR,Claims Status,2035,Claims Queue,58,384,Escalated,No,60,Yes,1,0
95,2024-07-04 22:00:00,2024-07,Medicaid,IVR,Benefits Coverage,2017,Benefits Queue,128,387,Resolved,Yes,30,No,0,0
96,2024-07-04 23:00:00,2024-07,Medicare,Phone,Claims Status,2018,Benefits Queue,41,585,Resolved,No,30,No,0,0
97,2024-07-05 00:00:00,2024-07,Medicare,IVR,Provider Inquiry,2034,Benefits Queue,33,345,Escalated,Yes,60,Yes,1,0
98,2024-07-05 01:00:00,2024-07,Medicare,Portal,Benefits Coverage,2038,Claims Queue,34,314,Resolved,Yes,60,Yes,0,0
99,2024-07-05 02:00:00,2024-07,Medicaid,Phone,Claims Status,2007,Benefits Queue,131,200,Resolved,Yes,90,No,0,0
100,2024-07-05 03:00:00,2024-07,Medicare,Phone,Prior Authorization,2038,Claims Queue,140,457,Abandoned,Yes,60,No,0,1
101,2024-07-05 04:00:00,2024-07,Medicaid,Portal,Prior Authorization,2029,Enrollment Queue,48,316,Resolved,Yes,60,Yes,0,0
102,2024-07-05 05:00:00,2024-07,Medicaid,Phone,Claims Status,2033,Benefits Queue,8,145,Resolved,Yes,90,Yes,0,0
103,2024-07-05 06:00:00,2024-07,Commercial,IVR,Prior Authorization,2028,Claims Queue,81,385,Resolved,Yes,30,No,0,0
104,2024-07-05 07:00:00,2024-07,Medicaid,IVR,Benefits Coverage,2056,Benefits Queue,128,115,Resolved,Yes,90,No,0,0
105,2024-07-05 08:00:00,2024-07,Medicare,Phone,Provider Inquiry,2007,Claims Queue,199,385,Abandoned,Yes,30,No,0,1
106,2024-07-05 09:00:00,2024-07,Medicare,Phone,Prior Authorization,2037,Benefits Queue,163,1147,Resolved,No,30,No,0,0
107,2024-07-05 10:00:00,2024-07,Commercial,Phone,Prior Authorization,2043,Enrollment Queue,89,362,Abandoned,No,60,No,0,1
108,2024-07-05 11:00:00,2024-07,Medicare,IVR,Prior Authorization,2027,Claims Queue,36,216,Resolved,Yes,60,Yes,0,0
109,2024-07-05 12:00:00,2024-07,Medicaid,Phone,Billing,2054,Claims Queue,105,368,Abandoned,Yes,90,No,0,1
110,2024-07-05 13:00:00,2024-07,Medicaid,Phone,Enrollment,2003,Claims Queue,53,402,Resolved,Yes,30,No,0,0
111,2024-07-05 14:00:00,2024-07,Medicare,Phone,Provider Inquiry,2020,Enrollment Queue,79,147,Resolved,Yes,90,Yes,0,0
112,2024-07-05 15:00:00,2024-07,Medicaid,IVR,System Access,2031,Benefits Queue,12,708,Resolved,Yes,90,Yes,0,0
113,2024-07-05 16:00:00,2024-07,Medicare,Phone,Provider Inquiry,2008,Claims Queue,84,138,Escalated,Yes,30,No,1,0
114,2024-07-05 17:00:00,2024-07,Medicare,Phone,Provider Inquiry,2025,Claims Queue,172,401,Resolved,Yes,30,No,0,0
115,2024-07-05 18:00:00,2024-07,Commercial,Phone,Enrollment,2051,Benefits Queue,34,139,Resolved,Yes,90,Yes,0,0
116,2024-07-05 19:00:00,2024-07,Commercial,Portal,Provider Inquiry,2006,Enrollment Queue,151,275,Resolved,No,60,No,0,0
117,2024-07-05 20:00:00,2024-07,Medicaid,IVR,Prior Authorization,2001,Benefits Queue,128,368,Resolved,Yes,60,No,0,0
118,2024-07-05 21:00:00,2024-07,Medicaid,Phone,Provider Inquiry,2053,Enrollment Queue,59,465,Escalated,Yes,60,Yes,1,0
119,2024-07-05 22:00:00,2024-07,Medicare,Phone,System Access,2052,Enrollment Queue,155,457,Resolved,Yes,30,No,0,0
120,2024-07-05 23:00:00,2024-07,Medicaid,Phone,Billing,2024,Claims Queue,98,946,Escalated,Yes,30,No,1,0
121,2024-07-06 00:00:00,2024-07,Medicaid,Phone,Prior Authorization,2034,Benefits Queue,59,646,Escalated,No,60,Yes,1,0
122,2024-07-06 01:00:00,2024-07,Medicare,Phone,Billing,2019,Enrollment Queue,107,468,Resolved,Yes,60,No,0,0
123,2024-07-06 02:00:00,2024-07,Medicaid,Phone,Claims Status,2047,Claims Queue,143,147,Resolved,No,30,No,0,0
124,2024-07-06 03:00:00,2024-07,Medicare,Phone,Provider Inquiry,2045,Claims Queue,29,172,Resolved,Yes,60,Yes,0,0
125,2024-07-06 04:00:00,2024-07,Commercial,Portal,Benefits Coverage,2032,Benefits Queue,284,439,Resolved,No,60,No,0,0
126,2024-07-06 05:00:00,2024-07,Medicaid,Phone,Prior Authorization,2037,Benefits Queue,57,580,Escalated,Yes,90,Yes,1,0
127,2024-07-06 06:00:00,2024-07,Medicare,Phone,Prior Authorization,2004,Benefits Queue,69,545,Resolved,Yes,90,Yes,0,0
128,2024-07-06 07:00:00,2024-07,Medicare,Phone,Benefits Coverage,2023,Benefits Queue,162,317,Escalated,Yes,90,No,1,0
129,2024-07-06 08:00:00,2024-07,Commercial,IVR,Enrollment,2057,Benefits Queue,81,475,Resolved,No,90,Yes,0,0
130,2024-07-06 09:00:00,2024-07,Medicaid,Portal,Enrollment,2013,Claims Queue,100,391,Resolved,Yes,30,No,0,0
131,2024-07-06 10:00:00,2024-07,Medicaid,Phone,System Access,2020,Benefits Queue,105,506,Resolved,Yes,60,No,0,0
132,2024-07-06 11:00:00,2024-07,Commercial,Phone,Enrollment,2019,Enrollment Queue,69,346,Escalated,Yes,30,No,1,0
133,2024-07-06 12:00:00,2024-07,Commercial,Phone,Claims Status,2038,Enrollment Queue,94,231,Resolved,No,60,No,0,0
134,2024-07-06 13:00:00,2024-07,Medicaid,IVR,System Access,2013,Enrollment Queue,123,75,Escalated,Yes,60,No,1,0
135,2024-07-06 14:00:00,2024-07,Medicaid,Phone,Enrollment,2012,Enrollment Queue,76,660,Resolved,No,30,No,0,0
136,2024-07-06 15:00:00,2024-07,Medicare,Portal,Prior Authorization,2052,Enrollment Queue,119,387,Resolved,Yes,90,No,0,0
137,2024-07-06 16:00:00,2024-07,Commercial,IVR,System Access,2042,Enrollment Queue,291,365,Resolved,No,90,No,0,0
138,2024-07-06 17:00:00,2024-07,Medicaid,Phone,Benefits Coverage,2018,Enrollment Queue,134,76,Resolved,Yes,30,No,0,0
139,2024-07-06 18:00:00,2024-07,Medicare,Phone,Enrollment,2057,Benefits Queue,93,227,Resolved,No,60,No,0,0
140,2024-07-06 19:00:00,2024-07,Commercial,IVR,Provider Inquiry,2015,Benefits Queue,56,184,Abandoned,Yes,90,Yes,0,1
141,2024-07-06 20:00:00,2024-07,Medicare,Portal,Provider Inquiry,2038,Benefits Queue,26,323,Abandoned,No,30,Yes,0,1
142,2024-07-06 21:00:00,2024-07,Medicaid,Phone,System Access,2029,Enrollment Queue,94,148,Resolved,Yes,90,No,0,0
143,2024-07-06 22:00:00,2024-07,Medicaid,Phone,Benefits Coverage,2055,Benefits Queue,35,340,Resolved,No,60,Yes,0,0
144,2024-07-06 23:00:00,2024-07,Medicaid,Phone,Billing,2008,Claims Queue,44,355,Resolved,Yes,30,No,0,0
145,2024-07-07 00:00:00,2024-07,Commercial,Phone,System Access,2046,Benefits Queue,61,163,Resolved,Yes,30,No,0,0
146,2024-07-07 01:00:00,2024-07,Medicaid,Phone,Provider Inquiry,2033,Claims Queue,106,404,Resolved,Yes,60,No,0,0
147,2024-07-07 02:00:00,2024-07,Medicaid,Portal,Claims Status,2055,Benefits Queue,29,205,Resolved,Yes,90,Yes,0,0
148,2024-07-07 03:00:00,2024-07,Medicaid,Phone,Claims Status,2017,Enrollment Queue,151,543,Escalated,Yes,30,No,1,0
149,2024-07-07 04:00:00,2024-07,Medicaid,IVR,System Access,2031,Claims Queue,123,144,Resolved,Yes,30,No,0,0
150,2024-07-07 05:00:00,2024-07,Medicaid,IVR,Provider Inquiry,2006,Claims Queue,45,98,Resolved,Yes,30,No,0,0
151,2024-07-07 06:00:00,2024-07,Medicaid,Phone,Enrollment,2038,Claims Queue,175,1008,Abandoned,No,30,No,0,1
152,2024-07-07 07:00:00,2024-07,Medicare,Phone,Billing,2025,Claims Queue,90,658,Resolved,Yes,30,No,0,0
153,2024-07-07 08:00:00,2024-07,Medicare,Phone,Provider Inquiry,2004,Claims Queue,55,121,Resolved,Yes,90,Yes,0,0
154,2024-07-07 09:00:00,2024-07,Medicaid,Phone,Provider Inquiry,2024,Benefits Queue,155,128,Abandoned,Yes,90,No,0,1
155,2024-07-07 10:00:00,2024-07,Medicaid,Phone,System Access,2015,Enrollment Queue,54,249,Resolved,Yes,60,Yes,0,0
156,2024-07-07 11:00:00,2024-07,Medicaid,IVR,Prior Authorization,2049,Benefits Queue,147,692,Resolved,Yes,30,No,0,0
157,2024-07-07 12:00:00,2024-07,Medicare,Phone,Benefits Coverage,2049,Benefits Queue,79,487,Resolved,Yes,30,No,0,0
158,2024-07-07 13:00:00,2024-07,Commercial,Phone,Provider Inquiry,2021,Claims Queue,106,586,Resolved,No,90,No,0,0
159,2024-07-07 14:00:00,2024-07,Commercial,Portal,Prior Authorization,2006,Benefits Queue,96,20,Resolved,Yes,90,No,0,0
160,2024-07-07 15:00:00,2024-07,Medicaid,Phone,System Access,2036,Claims Queue,98,388,Resolved,No,30,No,0,0
161,2024-07-07 16:00:00,2024-07,Medicaid,Phone,Prior Authorization,2038,Claims Queue,147,164,Resolved,No,30,No,0,0
162,2024-07-07 17:00:00,2024-07,Commercial,Phone,Claims Status,2044,Benefits Queue,94,154,Resolved,Yes,30,No,0,0
163,2024-07-07 18:00:00,2024-07,Commercial,Phone,Benefits Coverage,2049,Enrollment Queue,40,523,Resolved,No,60,Yes,0,0
164,2024-07-07 19:00:00,2024-07,Medicare,IVR,System Access,2011,Benefits Queue,10,1008,Escalated,No,30,Yes,1,0
165,2024-07-07 20:00:00,2024-07,Medicare,IVR,System Access,2012,Claims Queue,110,163,Escalated,No,90,No,1,0
166,2024-07-07 21:00:00,2024-07,Commercial,Phone,Claims Status,2051,Claims Queue,262,358,Resolved,Yes,90,No,0,0
167,2024-07-07 22:00:00,2024-07,Medicare,Phone,System Access,2019,Benefits Queue,123,58,Resolved,No,60,No,0,0
168,2024-07-07 23:00:00,2024-07,Commercial,Portal,System Access,2022,Benefits Queue,52,370,Resolved,Yes,60,Yes,0,0
169,2024-07-08 00:00:00,2024-07,Medicaid,Phone,System Access,2043,Benefits Queue,150,542,Resolved,No,30,No,0,0
170,2024-07-08 01:00:00,2024-07,Medicaid,Phone,Billing,2058,Benefits Queue,73,82,Resolved,Yes,30,No,0,0
171,2024-07-08 02:00:00,2024-07,Medicaid,Phone,Prior Authorization,2025,Claims Queue,133,301,Resolved,Yes,30,No,0,0
172,2024-07-08 03:00:00,2024-07,Medicaid,Portal,Enrollment,2047,Claims Queue,80,556,Resolved,No,30,No,0,0
173,2024-07-08 04:00:00,2024-07,Commercial,Phone,Enrollment,2004,Enrollment Queue,232,262,Resolved,No,90,No,0,0
174,2024-07-08 05:00:00,2024-07,Medicaid,Phone,System Access,2048,Enrollment Queue,83,204,Resolved,Yes,60,No,0,0
175,2024-07-08 06:00:00,2024-07,Medicare,Phone,Enrollment,2024,Enrollment Queue,204,667,Abandoned,Yes,30,No,0,1
176,2024-07-08 07:00:00,2024-07,Medicaid,Phone,Provider Inquiry,2030,Enrollment Queue,101,253,Abandoned,Yes,30,No,0,1
177,2024-07-08 08:00:00,2024-07,Medicaid,Phone,Benefits Coverage,2043,Claims Queue,31,415,Escalated,Yes,60,Yes,1,0
178,2024-07-08 09:00:00,2024-07,Medicaid,Phone,Benefits Coverage,2020,Claims Queue,56,259,Resolved,Yes,90,Yes,0,0
179,2024-07-08 10:00:00,2024-07,Medicaid,IVR,Provider Inquiry,2020,Claims Queue,38,137,Abandoned,Yes,30,No,0,1
180,2024-07-08 11:00:00,2024-07,Medicare,Phone,Billing,2014,Benefits Queue,40,373,Resolved,Yes,30,No,0,0
181,2024-07-08 12:00:00,2024-07,Medicare,IVR,Billing,2002,Claims Queue,85,202,Resolved,No,30,No,0,0
182,2024-07-08 13:00:00,2024-07,Medicaid,Portal,Billing,2049,Benefits Queue,35,261,Resolved,No,60,Yes,0,0
183,2024-07-08 14:00:00,2024-07,Medicare,Phone,Billing,2007,Benefits Queue,64,638,Abandoned,Yes,60,No,0,1
184,2024-07-08 15:00:00,2024-07,Medicaid,IVR,Claims Status,2055,Enrollment Queue,109,811,Resolved,Yes,30,No,0,0
185,2024-07-08 16:00:00,2024-07,Medicaid,Phone,System Access,2045,Claims Queue,55,705,Resolved,Yes,60,Yes,0,0
186,2024-07-08 17:00:00,2024-07,Medicaid,Phone,System Access,2026,Claims Queue,38,540,Resolved,No,30,No,0,0
187,2024-07-08 18:00:00,2024-07,Medicaid,Phone,Provider Inquiry,2054,Enrollment Queue,138,443,Resolved,Yes,60,No,0,0
188,2024-07-08 19:00:00,2024-07,Medicaid,Phone,Billing,2058,Enrollment Queue,319,962,Resolved,No,30,No,0,0
189,2024-07-08 20:00:00,2024-07,Commercial,IVR,Claims Status,2026,Benefits Queue,84,314,Escalated,Yes,90,Yes,1,0
190,2024-07-08 21:00:00,2024-07,Commercial,Phone,Prior Authorization,2032,Enrollment Queue,154,701,Resolved,No,30,No,0,0
191,2024-07-08 22:00:00,2024-07,Medicaid,IVR,Prior Authorization,2001,Benefits Queue,189,206,Resolved,Yes,90,No,0,0
192,2024-07-08 23:00:00,2024-07,Medicaid,IVR,Claims Status,2023,Benefits Queue,40,469,Resolved,Yes,30,No,0,0
193,2024-07-09 00:00:00,2024-07,Medicaid,Phone,Prior Authorization,2045,Benefits Queue,43,158,Escalated,Yes,90,Yes,1,0
194,2024-07-09 01:00:00,2024-07,Medicare,Phone,Claims Status,2011,Claims Queue,142,373,Resolved,Yes,60,No,0,0
195,2024-07-09 02:00:00,2024-07,Medicaid,Phone,Claims Status,2022,Enrollment Queue,169,434,Resolved,No,90,No,0,0
196,2024-07-09 03:00:00,2024-07,Medicare,Portal,Provider Inquiry,2026,Benefits Queue,138,349,Resolved,Yes,60,No,0,0
197,2024-07-09 04:00:00,2024-07,Commercial,Phone,Provider Inquiry,2021,Enrollment Queue,96,498,Escalated,Yes,30,No,1,0
198,2024-07-09 05:00:00,2024-07,Medicaid,Phone,Prior Authorization,2003,Benefits Queue,60,125,Escalated,Yes,60,Yes,1,0
199,2024-07-09 06:00:00,2024-07,Medicare,Phone,Enrollment,2044,Enrollment Queue,103,258,Resolved,Yes,60,No,0,0
200,2024-07-09 07:00:00,2024-07,Medicare,IVR,Enrollment,2034,Enrollment Queue,40,189,Resolved,Yes,60,Yes,0,0
201,2024-07-09 08:00:00,2024-07,Medicare,Phone,System Access,2010,Enrollment Queue,265,448,Resolved,Yes,60,No,0,0
202,2024-07-09 09:00:00,2024-07,Medicaid,IVR,Prior Authorization,2039,Enrollment Queue,156,598,Resolved,No,90,No,0,0
